center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status,tail_edge
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.125,50.0,320,12,16,7739338.949017593,3313.668793397972,-9.387736349604086,112132.33057495374,112476.08769886814,5.9515036168987426e-08,8.279129981983591e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.125,100.0,320,12,32,7739339.409624658,3313.668876516463,-9.38773638482774,112132.13850266533,112475.89601477534,7.662484824154736e-09,8.267095870807191e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.125,200.0,320,12,62,7739339.468927229,3313.668887214804,-9.38773638936274,112132.27809184616,112476.03531678223,4.656924861160353e-10,8.243028570757752e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.25,50.0,320,12,16,10296578.796812098,3502.746054087946,-9.556705261136493,37985.91161247036,39270.38695229763,1.0347273034024027e-07,4.8842843843244764e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.125,500.0,320,12,109,7739339.472800823,3313.6688879124226,-9.387736389658963,112132.37034186459,112476.12740002028,3.1042643900055416e-11,8.255062184977507e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.25,100.0,320,12,32,10296579.86222733,3502.7462203184364,-9.55670532237627,37985.9730126995,39270.44662887101,1.332236764641166e-08,4.8661939386418865e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.25,200.0,320,12,62,10296579.999402154,3502.7462417148986,-9.556705330261043,37986.16505886123,39270.633283593255,8.096816564224921e-10,4.88428381386401e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.25,500.0,320,12,109,10296580.008362368,3502.7462431101317,-9.556705330776074,37985.89132893048,39270.36731144798,5.3972783288520565e-11,4.866193869578039e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.5,50.0,320,12,16,1492572.720559117,1259.4768156682742,-8.413669658155419,2963.579739783456,3271.8304596615462,5.437037551298955e-07,3.478640123836744e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.5,100.0,320,12,32,1492573.532076951,1259.4771479249287,-8.41366997994363,2963.5117009152846,3271.7691148919444,7.001125722866821e-08,3.4786382324870456e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.5,200.0,320,12,62,1492573.636573908,1259.4771907089107,-8.413670021379415,2963.536190442002,3271.7912782011763,4.25514609442386e-09,3.47863798894321e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,1.0,50.0,320,12,16,2721.74500333848,62.111805266507005,-4.6809157042693865,46.82644859310859,58.14890018971369,2.5360954280403363e-05,9.957928490578257e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,1.0,100.0,320,12,32,2721.6759772878872,62.11114144217788,-4.680900694335545,46.82578449602718,58.14820056456199,3.267217558437731e-06,9.941472682103403e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,0.5,500.0,320,12,109,1492573.6433998337,1259.4771935036172,-8.413670024086073,2963.5800032281227,3271.8308596686406,2.8364595634250873e-10,3.4786379730344975e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,1.0,200.0,320,12,62,2721.667084980346,62.11105590171166,-4.680898760647359,46.825698942285236,58.14842337979853,1.9860036710900856e-07,9.94150516316363e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.1,1.0,500.0,320,12,109,2721.666504045839,62.111050303876006,-4.680898634319279,46.825693353044215,58.14833931542167,1.3239046438023154e-08,9.941507285158883e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.2,0.125,50.0,320,12,16,15406205.200864667,6761.8550377060865,-9.795194174007944,1090138570.2507114,1090237440.4779322,4.0301975309561235e-08,7.585408290952232e-13,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.2,0.125,100.0,320,12,32,15406205.821765194,6761.855120867023,-9.79519419786045,1090138570.482361,1090237440.7096236,5.1886986819196765e-09,7.587826030506768e-13,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.2,0.125,200.0,320,12,62,15406205.901703354,6761.8551315673085,-9.795194200931354,1090138570.3479545,1090237440.575192,3.1534429314447044e-10,7.587825991135826e-13,reject_tail_edge,True
