rank,target_id,status,center_type,m0,Q,c_I,kappa,W_factor,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,Q_minus_5,jet_ratio,tail_drift_rel,quad_drift_rel,tail_edge
39,T039_gap_midpoint_1268.844747,healthy,gap_midpoint,1268.8447468329664,5.307985050899312,0.2,0.5,25.0,8,0.29120415383886095,0.5484379570292941,0.7391095177690887,0.538253735033668,0.24075754781396766,2.373294018349e-04,2.267960610326e+03,0.01012999372431742,2.0968885762588586e-15,False
40,T040_large_gap_midpoint_1268.844747,healthy,large_gap_midpoint,1268.8447468329664,5.307985050899312,0.2,0.5,25.0,8,0.29120415383886095,0.5484379570292941,0.7391095177690887,0.538253735033668,0.24075754781396766,2.373294018349e-04,2.267960610326e+03,0.01012999372431742,2.0968885762588586e-15,False
41,T041_gap_midpoint_933.119024,healthy,gap_midpoint,933.1190237913893,5.000655697353368,0.2,0.5,50.0,16,0.30682308462660074,0.5589855320980388,0.7340374580332,0.5523096340891226,0.24703916266591697,3.197902593700e-04,1.727099615783e+03,0.0009381646687594778,3.2566021666155064e-15,False
42,T042_large_gap_midpoint_933.119024,healthy,large_gap_midpoint,933.1190237913893,5.000655697353368,0.2,0.5,50.0,16,0.30682308462660074,0.5589855320980388,0.7340374580332,0.5523096340891226,0.24703916266591697,3.197902593700e-04,1.727099615783e+03,0.0009381646687594778,3.2566021666155064e-15,False
43,T043_gap_midpoint_1268.844747,healthy,gap_midpoint,1268.8447468329664,5.307985050899312,0.2,0.5,50.0,16,0.2941842383269056,0.5511984620277133,0.733009843529672,0.5410075793435926,0.24198892445136494,2.373294018349e-04,2.279564079128e+03,0.0011522598440005163,2.0756471081407636e-15,False
44,T044_large_gap_midpoint_1268.844747,healthy,large_gap_midpoint,1268.8447468329664,5.307985050899312,0.2,0.5,50.0,16,0.2941842383269056,0.5511984620277133,0.733009843529672,0.5410075793435926,0.24198892445136494,2.373294018349e-04,2.279564079128e+03,0.0011522598440005163,2.0756471081407636e-15,False
45,T045_gap_midpoint_851.904281,healthy,gap_midpoint,851.9042805246966,4.909597107306596,0.5,0.5,25.0,8,0.31506932986921976,0.5852817741613379,0.7258474493000694,0.5504343589805052,0.24792756412432468,3.505667545186e-04,1.570127092446e+03,0.007862265150221823,7.399858160362885e-15,False
46,T046_large_gap_midpoint_851.904281,healthy,large_gap_midpoint,851.9042805246966,4.909597107306596,0.5,0.5,25.0,8,0.31506932986921976,0.5852817741613379,0.7258474493000694,0.5504343589805052,0.24792756412432468,3.505667545186e-04,1.570127092446e+03,0.007862265150221823,7.399858160362885e-15,False
47,T047_gap_midpoint_1268.844747,healthy,gap_midpoint,1268.8447468329664,5.307985050899312,0.5,0.5,25.0,8,0.29920819085720557,0.5797129803584689,0.7228653043722736,0.5382537350336675,0.24194402100512868,2.373294018349e-04,2.267960610326e+03,0.010000301721795115,1.298687905252733e-15,False
48,T048_large_gap_midpoint_1268.844747,healthy,large_gap_midpoint,1268.8447468329664,5.307985050899312,0.5,0.5,25.0,8,0.29920819085720557,0.5797129803584689,0.7228653043722736,0.5382537350336675,0.24194402100512868,2.373294018349e-04,2.267960610326e+03,0.010000301721795115,1.298687905252733e-15,False
49,T049_gap_midpoint_851.904281,healthy,gap_midpoint,851.9042805246966,4.909597107306596,0.5,0.5,50.0,16,0.31756611889872843,0.5874943413550386,0.720886805768922,0.5526523537670326,0.24891301364887786,3.505667545186e-04,1.576453975295e+03,0.000878135769791388,7.691282252166937e-15,False
50,T050_large_gap_midpoint_851.904281,healthy,large_gap_midpoint,851.9042805246966,4.909597107306596,0.5,0.5,50.0,16,0.31756611889872843,0.5874943413550386,0.720886805768922,0.5526523537670326,0.24891301364887786,3.505667545186e-04,1.576453975295e+03,0.000878135769791388,7.691282252166937e-15,False
