center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
zero,25.01085758014569,3.3325922057310575,0.2,1.0,10.0,160,8,1,4707.757636106427,74.02297496076379,-7.025515171224761,297.68088172504537,325.82557634688027,0.0002633835992328805,7.727625524283612e-16,healthy
zero,25.01085758014569,3.3325922057310575,0.2,1.0,25.0,160,8,3,4706.517689955913,74.01392451478013,-7.025296339910778,297.68088171799445,325.8235234427994,1.9039017319177768e-05,1.3526907433062523e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,1.0,50.0,160,8,6,4706.428082484101,74.01326976024421,-7.02528052334456,297.68088169563595,325.82337478135497,1.693356537891881e-06,1.35271649769908e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,1.0,100.0,160,8,11,4706.420112823337,74.01321152272295,-7.0252791166094815,297.68088171824155,325.8233615760045,2.1377855301633478e-07,9.662277059530605e-16,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.25,10.0,160,8,1,3269899.1502503674,4726.699435283336,-12.461278672505976,3460296039.126393,3463433430.627567,2.6242937852335103e-07,1.2816760986187474e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.25,25.0,160,8,3,3269898.2921327655,4726.697137876074,-12.46127845449616,3460296039.1263924,3463433430.6275663,1.8971143603825486e-08,1.1392679421940425e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.25,50.0,160,8,6,3269898.2300990555,4726.696973523569,-12.46127843873613,3460296039.126391,3463433430.627565,1.6873498440055662e-09,1.2816764592831658e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.25,100.0,160,8,11,3269898.224581593,4726.696958948519,-12.461278437334384,3460296039.1263914,3463433430.6275654,2.1302103627459985e-10,1.2816764614458024e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.5,10.0,160,8,1,91098.01008143193,591.8571724139548,-9.486759753301893,76286420.6751239,76387410.45973957,1.4873721986270583e-05,2.3960866788460504e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.5,25.0,160,8,3,91096.65511495648,591.8525921133853,-9.486747397059194,76286420.67512366,76387410.45973931,1.0666282870660928e-06,2.396122318103255e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.5,50.0,160,8,6,91096.55794868727,591.8522636563986,-9.486746510971164,76286420.67512374,76387410.45973939,9.468895863156222e-08,2.3961248738778247e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.5,100.0,160,8,11,91096.54932284907,591.8522345114336,-9.486746432309541,76286420.67512356,76387410.45973921,1.1948799371525385e-08,2.715608447533003e-15,healthy
