center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
small_gap_q25,630.5568608105184,6.451349752340285,0.5,0.5,25.0,96,6,6,2158335.045962635,4133.963742078128,-7.823274585388046,2136355.0117276683,2170143.7508619837,2.2377012008125665e-07,1.2843611322184876e-12,healthy
small_gap_q25,630.5568608105184,6.451349752340285,0.5,1.0,10.0,96,6,2,66652.38922159982,491.8025882047273,-5.957898132148502,26637.079788659634,27395.492564929697,6.797694708975494e-05,4.912323420990719e-14,healthy
small_gap_q25,630.5568608105184,6.451349752340285,0.5,1.0,25.0,96,6,6,66647.19083086192,491.6434468094125,-5.957856295507259,26637.07972202223,27395.49298065434,4.54917196697783e-06,4.869038072679171e-14,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.2,0.5,10.0,96,6,3,1051198.807294131,1157.2712387877696,-7.43722518824469,7576.269504412151,8228.977209316456,4.127276397121857e-05,1.6013769630792525e-13,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.2,0.5,25.0,96,6,6,1051248.8268304535,1157.2957539313877,-7.43725071065517,7576.26950441578,8228.98062948406,4.831514973136734e-06,1.6035155683703952e-13,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.2,1.0,10.0,96,6,3,13864.560721215366,197.30084462246342,-5.115559714318156,199.5904524166699,289.29612201665884,0.0001758068988888245,5.523395614842647e-13,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.2,1.0,25.0,96,6,6,13867.38758908093,197.2530561141026,-5.115669067731512,199.59147948851285,289.30415160653644,1.987522267185067e-05,5.520957967276318e-13,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.5,0.5,10.0,96,6,3,2158439.21491755,4134.285277378454,-7.823130126372127,2136531.218332101,2170312.5432886374,2.5347231228037672e-06,5.874595293556437e-13,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.5,0.5,25.0,96,6,6,2158445.6926687257,4134.261780846547,-7.823131736131663,2136531.218333269,2170312.543301262,2.3591258618156226e-07,5.874577663200159e-13,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.5,1.0,10.0,96,6,3,66643.90600173936,491.64408808700875,-5.9577001299850405,26634.618368627092,27393.372723152585,2.782462050606673e-05,2.2490387470421222e-13,healthy
small_gap_q75,630.7228075549713,6.451611646773761,0.5,1.0,25.0,96,6,6,66641.84812732774,491.59749356041556,-5.9576835668574,26634.618366409537,27393.372829269472,4.266312826485131e-06,2.2512917966767152e-13,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.2,0.5,10.0,96,6,2,347783.59562113555,644.1291415608323,-6.908035265652833,561.8616237642464,614.461369627558,0.00021190817258732891,1.4293182037903204e-13,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.2,0.5,25.0,96,6,5,347861.48418410984,644.1977812490942,-6.9081565046827,561.9276527457272,614.5218418818299,1.4629175537939898e-05,1.4306714696435735e-13,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.2,1.0,10.0,96,6,2,58989.329871677575,249.13352689452313,-5.947452266135194,249.13832828064938,254.48752021858002,0.0010110346170615978,7.967997990462379e-14,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.2,1.0,25.0,96,6,5,59052.4540754225,249.2634438568068,-5.94803131693694,249.2681688198702,254.61453388102245,7.084396035055112e-05,7.971801765196996e-14,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.5,0.5,10.0,96,6,2,551705.413310458,1026.593973135947,-7.15786025796778,79981.25531384611,80008.90044934828,0.00016613614949804263,6.942226767585875e-14,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.5,0.5,25.0,96,6,5,551802.2572875905,1026.6672639401036,-7.157955286438115,79981.25529095739,80008.90092213478,1.141264412510068e-05,6.898813793283329e-14,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.5,1.0,10.0,96,6,2,42708.82859631894,249.10825656567442,-5.772603324389306,6396.351674853463,6547.752239353475,0.0011623215493627068,9.233615522827315e-14,healthy
small_gap_mid,564.333467524468,6.340947256994796,0.5,1.0,25.0,96,6,5,42761.37077556557,249.238288504452,-5.773268980459312,6396.351715954763,6547.757006968878,8.120086805130673e-05,9.239285160519613e-14,healthy
small_gap_q25,564.2471733176271,6.340795140514221,0.2,0.5,10.0,96,6,2,941364.7115486888,1091.1323264689397,-7.447241372236592,5693.0345274801975,6414.033731947531,0.00014531528442247342,4.4532322994021995e-13,healthy
small_gap_q25,564.2471733176271,6.340795140514221,0.2,0.5,25.0,96,6,5,941507.7027322347,1091.2071901240618,-7.447323606060772,5693.034527628078,6414.0461816874595,9.087203699584457e-06,4.4500830108886505e-13,healthy
small_gap_q25,564.2471733176271,6.340795140514221,0.2,1.0,10.0,96,6,2,12137.510355267666,182.41829513977228,-5.091518515502395,182.82555326480082,265.3438287787401,0.0006752075296732057,1.6095513513283159e-12,healthy
small_gap_q25,564.2471733176271,6.340795140514221,0.2,1.0,25.0,96,6,5,12146.15444772415,182.5573645951005,-5.0919039648458835,182.81876250461713,265.36516750233034,4.6511110460389434e-05,1.6075073260178796e-12,healthy
small_gap_q25,564.2471733176271,6.340795140514221,0.5,0.5,10.0,96,6,2,1758385.340655231,3834.0618604940205,-7.785530051510779,1967435.4934774933,1993937.0915268748,5.476930500564171e-06,3.5181766242295454e-13,healthy
small_gap_q25,564.2471733176271,6.340795140514221,0.5,0.5,25.0,96,6,5,1758396.1565068448,3833.9774228126225,-7.7855333817655,1967435.4935138784,1993937.091592113,6.260235582962932e-07,3.5181549840114534e-13,healthy
