m0,c_I,Q,eta_abs,kappa,W_factor,cutoff_mode,ngrid,n_local_zeros,E_I_zeta,B_eff_zeta,E_I_proxy,B_eff_proxy,D_completed,ratio_E_zeta_proxy,group
960.4618473895582,0.5,5.029537193396139,0.09941272542064265,0.5,40.0,hard,201,13,0.8829087916551749,0.07709479417656703,0.8819430132214634,0.07777233986422837,8.903657141190572e-07,1.00109505763891,C_random_healthy
960.4618473895582,1.0,5.029537193396139,0.09941272542064265,0.5,40.0,hard,201,13,1.075123586943863,-0.04484267027403781,1.0746615999375517,-0.04457659532726889,6.142935994636546e-06,1.0004298906803202,C_random_healthy
960.662809437848,0.1,5.02974640631557,0.09940859033612075,0.5,40.0,hard,201,13,0.8102526175210222,0.13025453172182533,0.8085529309462227,0.13155449899347496,0.0013813963632154133,1.0021021339602472,C_random_healthy
960.662809437848,0.2,5.02974640631557,0.09940859033612075,0.5,40.0,hard,201,13,0.8156268948396967,0.12616200621351464,0.8144318809060993,0.1270696760050138,2.266537987444634e-05,1.0014672975869607,C_random_healthy
960.662809437848,0.5,5.02974640631557,0.09940859033612075,0.5,40.0,hard,201,13,0.8584134779223127,0.09451050071215432,0.8574109838169685,0.09523388175130974,8.510375602678819e-07,1.0011692107102261,C_random_healthy
960.662809437848,1.0,5.02974640631557,0.09940859033612075,0.5,40.0,hard,201,13,1.041215578922932,-0.025002858374084558,1.0406999753153976,-0.02469623098470449,5.898822342614862e-06,1.0004954392425907,C_random_healthy
972.1284263903436,0.1,5.041610855239225,0.09917465158589178,0.5,40.0,hard,201,12,1.1022744577235777,-0.06019298402624387,1.1005096134677494,-0.05920247217360512,0.0009480602889142365,1.0016036609169339,C_random_healthy
972.1284263903436,0.2,5.041610855239225,0.09917465158589178,0.5,40.0,hard,201,12,1.1088828531244175,-0.06388788495000658,1.107452005041046,-0.06308973712439675,1.5772360955684956e-05,1.0012920181433222,C_random_healthy
972.1284263903436,0.5,5.041610855239225,0.09917465158589178,0.5,40.0,hard,201,12,1.1594455186847208,-0.09145054363746646,1.1580022751114554,-0.09068060723327184,6.743380082369853e-07,1.0012463218806082,C_random_healthy
972.1284263903436,1.0,5.041610855239225,0.09917465158589178,0.5,40.0,hard,201,12,1.3709441414120949,-0.1950266769541956,1.3700342714093523,-0.1946162849663962,4.132243113841175e-06,1.000664122074703,C_random_healthy
987.85140562249,0.1,5.057655220859913,0.0988600405060804,0.5,40.0,hard,201,13,0.723249835004594,0.1998889304862624,0.7208108904994379,0.20197289274661712,0.0017393728269847804,1.003383612175263,C_random_healthy
987.85140562249,0.2,5.057655220859913,0.0988600405060804,0.5,40.0,hard,201,13,0.7257566267264822,0.19775430673333597,0.7249287865958662,0.19845842604090433,2.4646174394342863e-05,1.001141960625544,C_random_healthy
987.85140562249,0.5,5.057655220859913,0.0988600405060804,0.5,40.0,hard,201,13,0.7557305606546734,0.17278663244779913,0.754792116179732,0.1735532069379804,6.418031400065039e-07,1.0012433151523776,C_random_healthy
987.85140562249,1.0,5.057655220859913,0.0988600405060804,0.5,40.0,hard,201,13,0.8786224726633202,0.0798320266481247,0.8779740545964938,0.08028749277266797,3.397374728066321e-06,1.000738538984645,C_random_healthy
988.068333161428,0.1,5.057874792065718,0.09885574881852541,0.5,40.0,hard,201,13,1.1405783650530184,-0.08114732976173057,1.1403906912653747,-0.08104581117351725,0.001092080094768842,1.0001645697295507,C_random_healthy
988.068333161428,0.2,5.057874792065718,0.09885574881852541,0.5,40.0,hard,201,13,1.1528876066432203,-0.08776956353707162,1.1517445855177697,-0.08715761625261671,1.806176155114106e-05,1.0009924258727352,C_random_healthy
988.068333161428,0.5,5.057874792065718,0.09885574881852541,0.5,40.0,hard,201,13,1.2366737464086612,-0.13105017762749369,1.235567627800236,-0.13049813552599426,1.2479533482033065e-06,1.0008952311338832,C_random_healthy
988.068333161428,1.0,5.057874792065718,0.09885574881852541,0.5,40.0,hard,201,13,1.6076967143385126,-0.292916869048718,1.6077692704724165,-0.29294471047995524,1.0636906387798103e-05,0.9999548715507651,C_random_healthy
988.0780900580976,0.1,5.057884666735485,0.09885555581928986,0.5,40.0,hard,201,13,1.2014599459278745,-0.11322843160747365,1.1995036639776475,-0.11222310590418688,0.0010288977697445506,1.0016309095244778,C_random_healthy
988.0780900580976,0.2,5.057884666735485,0.09885555581928986,0.5,40.0,hard,201,13,1.212902317491436,-0.11907603195935205,1.2119647389174835,-0.11859896363440063,1.4202239789016206e-05,1.0007736021881213,C_random_healthy
988.0780900580976,0.5,5.057884666735485,0.09885555581928986,0.5,40.0,hard,201,13,1.3051738579803565,-0.16430891033057052,1.3040900719222115,-0.16379641915203183,1.301653192162632e-06,1.000831066872971,C_random_healthy
