center_type,m0,Q,c_I,Delta,kappa,eps,W_abs,W_factor_equiv,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,tail_edge,status
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,257,12,46,0.0019914784990696516,0.04467358204053445,5.9292111588496725,1.9636241107856683e+19,5.446113511472082e+18,2.0723391202857117e-05,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,513,12,46,0.0019914784990696516,0.04467358395631752,5.9292111588496725,1.9636241107856683e+19,5.446113511472082e+18,2.0723391202857117e-05,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,1025,12,46,0.0019914784990696516,0.04467358443854247,5.9292111588496725,1.9636241107856683e+19,5.446113511472082e+18,2.0723391202857117e-05,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,257,16,46,0.0019914784990696516,0.04467358204053445,5.9292111588496725,2.2059349523447012e+30,5.350769712308098e+29,2.0723391202857117e-05,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,513,16,46,0.0019914784990696516,0.04467358395631752,5.9292111588496725,2.2059349523447012e+30,5.350769712308098e+29,2.0723391202857117e-05,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,1025,16,46,0.0019914784990696516,0.04467358443854247,5.9292111588496725,2.2059349523447012e+30,5.350769712308098e+29,2.0723391202857117e-05,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.25,0.08758473550160868,20.0,57.087573209696615,257,4,17,0.007888128047615288,0.08890986052650043,4.616844254344462,0.08880963993755316,0.03971689878718302,0.0004697601414681134,2.1991573482396028e-16,False,healthy
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.25,0.08758473550160868,20.0,57.087573209696615,513,4,17,0.007888128047615288,0.08890986433528071,4.616844254344462,0.08880963993755316,0.03971689878718302,0.0004697601414681134,2.1991573482396028e-16,False,healthy
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.25,0.08758473550160868,20.0,57.087573209696615,1025,4,17,0.007888128047615288,0.08890986529399511,4.616844254344462,0.08880963993755316,0.03971689878718302,0.0004697601414683331,2.1991573482396028e-16,False,healthy
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.25,0.08758473550160868,20.0,57.087573209696615,257,8,17,0.007888128047615288,0.08890986052650043,4.616844254344462,2200104.5327338004,733368.7388058864,0.0004697601414681134,2.1991573482396028e-16,False,healthy
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.25,0.08758473550160868,20.0,57.087573209696615,513,8,17,0.007888128047615288,0.08890986433528071,4.616844254344462,2200104.5327338004,733368.7388058864,0.0004697601414681134,2.1991573482396028e-16,False,healthy
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.25,0.08758473550160868,20.0,57.087573209696615,1025,8,17,0.007888128047615288,0.08890986529399511,4.616844254344462,2200104.5327338004,733368.7388058864,0.0004697601414683331,2.1991573482396028e-16,False,healthy
