N,smoothing,level,R,rank,t0,source_objective,J_max,E_cI_0.1,S_cI_0.1,Beff_cI_0.1,E_cI_0.2,S_cI_0.2,Beff_cI_0.2,E_cI_0.5,S_cI_0.5,Beff_cI_0.5,E_cI_1.0,S_cI_1.0,Beff_cI_1.0
350,exp,3,8,1,3828.431187925955,0.0037627834537810076,0.04991372735434802,0.0002432681198387828,0.022706317167766856,3.9433199397625915,0.00029963439982782765,0.029954558131610392,3.8445638818811556,0.0007070646629701693,0.04925778947508587,3.4377098809806292,0.0023185015858717063,0.08905201124167707,2.874951618491274
350,exp,3,8,2,1641.4064316440135,0.006907797543015362,0.05841711987124999,5.72171007396579e-05,0.012832315192801605,4.879627284746815,9.48560674365724e-05,0.01899462625785773,4.627116659368893,0.0003417320799231276,0.03677071429862816,3.9869003288058003,0.0010244854851697747,0.06127055538177466,3.438469368363688
350,exp,3,8,3,1128.833855898077,0.008654387914332845,0.05514925025018378,0.000796118319940231,0.0452016952007622,3.659298011500118,0.0011683046094515597,0.06467117448917337,3.462603635854236,0.0035930574176643994,0.12123267971693137,2.886486138176994,0.010009786539451034,0.19471356363577963,2.361080557583077
350,cos,1,8,1,3486.5741891707935,0.0005955135155488265,0.014728397422184526,5.249134165867283e-05,0.007309621818514567,4.695392826980797,5.35689225567355e-05,0.00755170453033357,4.685710862382921,6.156626138878357e-05,0.009233911495145413,4.6194146491376165,9.596819948664504e-05,0.015259672898819233,4.407915161659132
350,cos,1,8,2,3629.946634024284,0.0009015244768885149,0.023476257074897536,1.8604640508268694e-05,0.0064346423797447426,5.177431741596539,2.4024231539379594e-05,0.008750552160165265,5.055910595865742,6.253410054335905e-05,0.01563838842560264,4.601178692333398,0.000208060685483234,0.027115233136944025,4.029766107607271
350,cos,1,8,3,3641.1075692518784,0.005075612276029196,0.04837698907298144,0.00047307328756060913,0.022750890121636298,3.638665841796647,0.00047570562140166915,0.02389405449521689,3.636028705707415,0.0004955798235133288,0.02849217529433437,3.616576944673046,0.0005923792384344668,0.04216773343337047,3.53178284988629
350,cos,2,8,1,3739.2785684045843,0.0010566450873894955,0.020529382788398935,7.188162909179428e-05,0.01474569669828537,4.527183515377814,0.00023450139338701903,0.03303859305006608,3.9660879521101227,0.0022101548799727004,0.13057489938901826,2.9015633798118095,0.01931156604279214,0.3631225196516521,1.8729672085899745
350,cos,2,8,2,3721.595728148156,0.0025526232431700075,0.03238063978618214,0.00019177894334120363,0.027331340144375486,4.062634297510801,0.0006914799580158375,0.04969620164257162,3.4538962067249552,0.0038230695064968272,0.11023735144504028,2.6422515799258677,0.010665958574724391,0.16238536154167946,2.1552559068461745
350,cos,2,8,3,2512.053040100605,0.004509810850269288,0.04893587331295461,0.00236787329134945,0.053158740814761324,2.937950743465604,0.0022902182994963397,0.05502867948227709,2.9541548457285667,0.0018613591261550091,0.055121127808982005,3.0549122367151456,0.0016420718248516947,0.07901143008209742,3.115825438016348
350,cos,3,8,1,3739.278631059909,0.0010598792089159537,0.02049912335394448,7.41744847159643e-05,0.015027444293569565,4.512283723667151,0.00023602521136777471,0.03284759165574173,3.9630144154965192,0.002205668630685085,0.13045564716979316,2.9025275595549953,0.019278155123104327,0.36305475035080903,1.873788889814444
