center_type,m0,Q,c_I,Delta,kappa,eps,W_abs,W_factor_equiv,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,tail_edge,status
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,513,16,42,9.844752729632225e-05,0.009927898858401013,23.364215199382937,7.146254303712116e+29,1.733229673115591e+29,7.460171369212555e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,1025,16,42,9.844752729632226e-05,0.009927898946628462,23.364215199382937,7.146254303712116e+29,1.733229673115591e+29,7.460171369074894e-06,2.753248868359356e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,257,4,95,9.844826173722581e-05,0.009927935538074853,23.364196306910845,0.009920882070781609,0.004436754821186769,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,513,4,95,9.844826173722581e-05,0.009927935888582557,23.364196306910845,0.009920882070781609,0.004436754821186769,1.1147520713849915e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,1025,4,95,9.844826173722581e-05,0.009927935976810172,23.364196306910845,0.009920882070781609,0.004436754821186769,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,257,8,95,9.844826173722581e-05,0.009927935538074853,23.364196306910845,448529.42959141085,149509.81002461197,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,513,8,95,9.844826173722581e-05,0.009927935888582557,23.364196306910845,448529.42959141085,149509.81002461197,1.1147520713849915e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,1025,8,95,9.844826173722581e-05,0.009927935976810172,23.364196306910845,448529.42959141085,149509.81002461197,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,257,12,95,9.844826173722581e-05,0.009927935538074853,23.364196306910845,6.275829141417637e+18,1.7406018281109286e+18,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,513,12,95,9.844826173722581e-05,0.009927935888582557,23.364196306910845,6.275829141417637e+18,1.7406018281109286e+18,1.1147520713849915e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,1025,12,95,9.844826173722581e-05,0.009927935976810172,23.364196306910845,6.275829141417637e+18,1.7406018281109286e+18,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,257,16,95,9.844826173722581e-05,0.009927935538074853,23.364196306910845,2.1637586494526672e+29,5.24803408233454e+28,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,513,16,95,9.844826173722581e-05,0.009927935888582557,23.364196306910845,2.1637586494526672e+29,5.24803408233454e+28,1.1147520713849915e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,200.0,296.8402694933699,1025,16,95,9.844826173722581e-05,0.009927935976810172,23.364196306910845,2.1637586494526672e+29,5.24803408233454e+28,1.1147520713849915e-06,1.3766141643254884e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,50.0,74.21006737334247,513,8,20,9.844282248078265e-05,0.009927661516346543,23.364336227571048,109767.3327716045,36589.16652907207,4.779008339577728e-05,1.3766902263204043e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,50.0,74.21006737334247,1025,8,20,9.844282248078264e-05,0.009927661604571926,23.36433622757105,109767.3327716045,36589.16652907207,4.77900833960526e-05,0.0,True,reject_tail_edge
